recency,frequency,monetary,actual_churn,churn_probability,high_risk,priority_score,retention_action
371,1,178.28,1,0.9999999955561445,1,178.27999920774946,Discount Email / Push Notification
0,23,6849.15,0,0.00123744573156059,0,8.475451432318215,No Action
232,11,3019.2200000000003,1,0.9999275407564373,1,3019.0012296026507,Personal Call + Premium Offer
32,16,5969.93,0,0.010763748886654583,0,64.2588273909058,No Action
24,2,514.56,0,0.006055675687137697,0,3.1160084815735734,No Action
206,5,1346.75,1,0.9995375767959124,1,1346.127231549895,Discount Email / Push Notification
420,2,370.45,1,0.9999999998581366,1,370.4499999474467,Discount Email / Push Notification
372,1,488.16,1,0.9999999958138068,1,488.159997956468,Discount Email / Push Notification
395,2,24.35,1,0.9999999991904069,1,24.34999998028641,Discount Email / Push Notification
30,3,949.25,0,0.00919316438288209,0,8.726611290450824,No Action
34,8,1653.75,0,0.01272925699940638,0,21.0510087627683,No Action
431,1,171.15,1,0.9999999999339007,1,171.1499999886871,Discount Email / Push Notification
372,4,650.94,1,0.9999999959691706,1,650.939997376172,Discount Email / Push Notification
2,11,2535.9,0,0.0013837563321124717,0,3.5090676826040172,No Action
112,1,371.56,1,0.7429280585605926,1,276.0423494387738,Discount Email / Push Notification
387,2,317.08,1,0.999999998567169,1,317.07999954567794,Discount Email / Push Notification
618,1,156.87,1,0.9999999999999998,1,156.86999999999998,Discount Email / Push Notification
23,28,144458.37,0,6.59215099335556e-05,0,9.522913872940249,No Action
395,2,1216.66,1,0.9999999991573514,1,1216.6599989747833,Discount Email / Push Notification
259,4,1141.75,1,0.9999886692685217,1,1141.7370631373346,Discount Email / Push Notification
43,9,5253.07,0,0.02132670015204887,0,112.03064876772335,No Action
74,2,1000.39,0,0.16652958195793907,0,166.59452849490268,No Action
682,2,1158.18,1,1.0,1,1158.18,Discount Email / Push Notification
56,1,243.84,0,0.05407331899512374,0,13.185238103770974,No Action
45,4,776.6,0,0.0263940751540157,0,20.497638764608592,No Action
539,1,160.82,1,0.999999999999966,1,160.81999999999454,Discount Email / Push Notification
3,5,2047.8,0,0.001383683969223241,0,2.833508032175353,No Action
18,3,552.68,0,0.004036530925446436,0,2.230909911875736,No Action
553,1,125.3,1,0.9999999999999873,1,125.2999999999984,Discount Email / Push Notification
442,1,143.05,1,0.9999999999694682,1,143.04999999563245,Discount Email / Push Notification
42,17,7852.610000000001,0,0.02046828491608069,0,160.72945881486442,No Action
59,6,1069.12,0,0.06868983184604328,0,73.43767302324179,No Action
31,3,566.58,0,0.009980571100055565,0,5.654791973869482,No Action
40,13,2537.02,0,0.020079723941124176,0,50.942661233110854,No Action
